# t(yr) SFR(Msol/yr)
5.0000000e+08 1.2456541e-04
6.0000000e+08 5.4487587e-04
7.0000000e+08 1.5263233e-03
8.0000000e+08 3.2459047e-03
9.0000000e+08 5.7488701e-03
1.0000000e+09 8.9798240e-03
1.1000000e+09 1.2812449e-02
1.2000000e+09 1.7103997e-02
1.3000000e+09 2.1704767e-02
1.4000000e+09 2.6496611e-02
1.5000000e+09 3.1372558e-02
1.6000000e+09 3.6250620e-02
1.7000000e+09 4.1073018e-02
1.8000000e+09 4.5808382e-02
1.9000000e+09 5.0417526e-02
2.0000000e+09 5.4910310e-02
2.1000000e+09 5.9253205e-02
2.2000000e+09 6.3473886e-02
2.3000000e+09 6.7573489e-02
2.4000000e+09 7.1546034e-02
2.5000000e+09 7.5409214e-02
2.6000000e+09 7.9178717e-02
2.7000000e+09 8.2859513e-02
2.8000000e+09 8.6493151e-02
2.9000000e+09 9.0048368e-02
3.0000000e+09 9.3495408e-02
3.1000000e+09 9.6899100e-02
3.2000000e+09 1.0027473e-01
3.3000000e+09 1.0361193e-01
3.4000000e+09 1.0690348e-01
3.5000000e+09 1.1015131e-01
3.6000000e+09 1.1337502e-01
3.7000000e+09 1.1655869e-01
3.8000000e+09 1.1970550e-01
3.9000000e+09 1.2282624e-01
4.0000000e+09 1.2589422e-01
4.1000000e+09 1.2892109e-01
4.2000000e+09 1.3191108e-01
4.3000000e+09 1.3485599e-01
4.4000000e+09 1.3774520e-01
4.5000000e+09 1.4059871e-01
4.6000000e+09 1.4340908e-01
4.7000000e+09 1.4617492e-01
4.8000000e+09 1.4891004e-01
4.9000000e+09 1.5159888e-01
5.0000000e+09 1.5428103e-01
5.1000000e+09 1.5695089e-01
5.2000000e+09 1.5962119e-01
5.3000000e+09 1.6229175e-01
5.4000000e+09 1.6500501e-01
5.5000000e+09 1.6772863e-01
5.6000000e+09 1.7052848e-01
5.7000000e+09 1.7335152e-01
5.8000000e+09 1.7628881e-01
5.9000000e+09 1.7925984e-01
6.0000000e+09 1.8233361e-01
6.1000000e+09 1.8544937e-01
6.2000000e+09 1.8867819e-01
6.3000000e+09 1.9194349e-01
6.4000000e+09 1.9532489e-01
6.5000000e+09 1.9872307e-01
6.6000000e+09 2.0221528e-01
6.7000000e+09 2.0570814e-01
6.8000000e+09 2.0928941e-01
6.9000000e+09 2.1287067e-01
7.0000000e+09 2.1640936e-01
7.1000000e+09 2.1993784e-01
7.2000000e+09 2.2341212e-01
7.3000000e+09 2.2684176e-01
7.4000000e+09 2.3022304e-01
7.5000000e+09 2.3344471e-01
7.6000000e+09 2.3666639e-01
7.7000000e+09 2.3962666e-01
7.8000000e+09 2.4254410e-01
7.9000000e+09 2.4529045e-01
8.0000000e+09 2.4780843e-01
8.1000000e+09 2.5032642e-01
8.2000000e+09 2.5233139e-01
8.3000000e+09 2.5430351e-01
8.4000000e+09 2.5605085e-01
8.5000000e+09 2.5745220e-01
8.6000000e+09 2.5885356e-01
8.7000000e+09 2.5975954e-01
8.8000000e+09 2.6053433e-01
8.9000000e+09 2.6121915e-01
9.0000000e+09 2.6130455e-01
9.1000000e+09 2.6138996e-01
9.2000000e+09 2.6118547e-01
9.3000000e+09 2.6057082e-01
9.4000000e+09 2.5995617e-01
9.5000000e+09 2.5890955e-01
9.6000000e+09 2.5762184e-01
9.7000000e+09 2.5633413e-01
9.8000000e+09 2.5451064e-01
9.9000000e+09 2.5256497e-01
1.0000000e+10 2.5061931e-01
1.0100000e+10 2.4816796e-01
1.0200000e+10 2.4567971e-01
1.0300000e+10 2.4319146e-01
1.0400000e+10 2.4013327e-01
1.0500000e+10 2.3707337e-01
1.0600000e+10 2.3400971e-01
1.0700000e+10 2.3053307e-01
1.0800000e+10 2.2705642e-01
1.0900000e+10 2.2357978e-01
1.1000000e+10 2.1972171e-01
1.1100000e+10 2.1585144e-01
1.1200000e+10 2.1198117e-01
1.1300000e+10 2.0784680e-01
1.1400000e+10 2.0367572e-01
1.1500000e+10 1.9950465e-01
