# t(yr) SFR(Msol/yr)
5.0000000e+08 5.0910114e-04
6.0000000e+08 2.1924814e-03
7.0000000e+08 6.1056419e-03
8.0000000e+08 1.2992665e-02
9.0000000e+08 2.3130085e-02
1.0000000e+09 3.6435691e-02
1.1000000e+09 5.2550436e-02
1.2000000e+09 7.1040009e-02
1.3000000e+09 9.1400887e-02
1.4000000e+09 1.1325195e-01
1.5000000e+09 1.3621343e-01
1.6000000e+09 1.5996855e-01
1.7000000e+09 1.8426871e-01
1.8000000e+09 2.0893872e-01
1.9000000e+09 2.3387376e-01
2.0000000e+09 2.5894468e-01
2.1000000e+09 2.8412673e-01
2.2000000e+09 3.0933832e-01
2.3000000e+09 3.3457017e-01
2.4000000e+09 3.5979047e-01
2.5000000e+09 3.8497121e-01
2.6000000e+09 4.1011457e-01
2.7000000e+09 4.3519014e-01
2.8000000e+09 4.6032061e-01
2.9000000e+09 4.8530653e-01
3.0000000e+09 5.0992072e-01
3.1000000e+09 5.3449557e-01
3.2000000e+09 5.5915923e-01
3.3000000e+09 5.8385958e-01
3.4000000e+09 6.0880800e-01
3.5000000e+09 6.3440833e-01
3.6000000e+09 6.6098935e-01
3.7000000e+09 6.8894645e-01
3.8000000e+09 7.1860447e-01
3.9000000e+09 7.5046460e-01
4.0000000e+09 7.8612927e-01
4.1000000e+09 8.2489516e-01
4.2000000e+09 8.6676034e-01
4.3000000e+09 9.1404454e-01
4.4000000e+09 9.6592333e-01
4.5000000e+09 1.0212536e+00
4.6000000e+09 1.0829512e+00
4.7000000e+09 1.1491784e+00
4.8000000e+09 1.2185286e+00
4.9000000e+09 1.2950904e+00
5.0000000e+09 1.3739633e+00
5.1000000e+09 1.4574156e+00
5.2000000e+09 1.5441604e+00
5.3000000e+09 1.6329900e+00
5.4000000e+09 1.7253522e+00
5.5000000e+09 1.8184106e+00
5.6000000e+09 1.9134684e+00
5.7000000e+09 2.0085365e+00
5.8000000e+09 2.1036549e+00
5.9000000e+09 2.1981214e+00
6.0000000e+09 2.2906027e+00
6.1000000e+09 2.3817891e+00
6.2000000e+09 2.4694891e+00
6.3000000e+09 2.5555028e+00
6.4000000e+09 2.6361505e+00
6.5000000e+09 2.7153854e+00
6.6000000e+09 2.7867080e+00
6.7000000e+09 2.8579503e+00
6.8000000e+09 2.9182620e+00
6.9000000e+09 2.9785737e+00
7.0000000e+09 3.0285845e+00
7.1000000e+09 3.0761224e+00
7.2000000e+09 3.1164320e+00
7.3000000e+09 3.1507845e+00
7.4000000e+09 3.1818935e+00
7.5000000e+09 3.2022954e+00
7.6000000e+09 3.2226974e+00
7.7000000e+09 3.2316458e+00
7.8000000e+09 3.2387172e+00
7.9000000e+09 3.2403676e+00
8.0000000e+09 3.2347820e+00
8.1000000e+09 3.2291963e+00
8.2000000e+09 3.2125778e+00
8.3000000e+09 3.1952525e+00
8.4000000e+09 3.1738219e+00
8.5000000e+09 3.1460714e+00
8.6000000e+09 3.1183209e+00
8.7000000e+09 3.0838622e+00
8.8000000e+09 3.0476267e+00
8.9000000e+09 3.0105342e+00
9.0000000e+09 2.9677312e+00
9.1000000e+09 2.9249283e+00
9.2000000e+09 2.8795998e+00
9.3000000e+09 2.8306982e+00
9.4000000e+09 2.7817966e+00
9.5000000e+09 2.7304797e+00
9.6000000e+09 2.6778148e+00
9.7000000e+09 2.6251499e+00
9.8000000e+09 2.5706503e+00
9.9000000e+09 2.5157324e+00
1.0000000e+10 2.4608144e+00
1.0100000e+10 2.4052849e+00
1.0200000e+10 2.3497108e+00
1.0300000e+10 2.2941367e+00
1.0400000e+10 2.2377903e+00
1.0500000e+10 2.1814416e+00
1.0600000e+10 2.1251027e+00
1.0700000e+10 2.0698494e+00
1.0800000e+10 2.0145961e+00
1.0900000e+10 1.9593429e+00
1.1000000e+10 1.9058601e+00
1.1100000e+10 1.8524341e+00
1.1200000e+10 1.7990080e+00
1.1300000e+10 1.7469677e+00
1.1400000e+10 1.6951200e+00
1.1500000e+10 1.6432723e+00
