# t(yr) SFR(Msol/yr)
5.0000000e+08 1.9119628e-02
6.0000000e+08 8.0722459e-02
7.0000000e+08 2.2646567e-01
8.0000000e+08 4.9005228e-01
9.0000000e+08 9.0060459e-01
1.0000000e+09 1.4704433e+00
1.1000000e+09 2.2109766e+00
1.2000000e+09 3.1139747e+00
1.3000000e+09 4.1790884e+00
1.4000000e+09 5.3825459e+00
1.5000000e+09 6.7011284e+00
1.6000000e+09 8.1161829e+00
1.7000000e+09 9.6576554e+00
1.8000000e+09 1.1388645e+01
1.9000000e+09 1.3460567e+01
2.0000000e+09 1.5968507e+01
2.1000000e+09 1.9044290e+01
2.2000000e+09 2.2599971e+01
2.3000000e+09 2.6558806e+01
2.4000000e+09 3.0779747e+01
2.5000000e+09 3.5046707e+01
2.6000000e+09 3.9153777e+01
2.7000000e+09 4.2924321e+01
2.8000000e+09 4.6213702e+01
2.9000000e+09 4.8923291e+01
3.0000000e+09 5.1002710e+01
3.1000000e+09 5.2452063e+01
3.2000000e+09 5.3306256e+01
3.3000000e+09 5.3612327e+01
3.4000000e+09 5.3365824e+01
3.5000000e+09 5.2742011e+01
3.6000000e+09 5.1818934e+01
3.7000000e+09 5.0661687e+01
3.8000000e+09 4.9313650e+01
3.9000000e+09 4.7801374e+01
4.0000000e+09 4.6221181e+01
4.1000000e+09 4.4591934e+01
4.2000000e+09 4.2930746e+01
4.3000000e+09 4.1274881e+01
4.4000000e+09 3.9627512e+01
4.5000000e+09 3.8005828e+01
4.6000000e+09 3.6426767e+01
4.7000000e+09 3.4874020e+01
4.8000000e+09 3.3388648e+01
4.9000000e+09 3.1933602e+01
5.0000000e+09 3.0529227e+01
5.1000000e+09 2.9183667e+01
5.2000000e+09 2.7867788e+01
5.3000000e+09 2.6630563e+01
5.4000000e+09 2.5409599e+01
5.5000000e+09 2.4271253e+01
5.6000000e+09 2.3151066e+01
5.7000000e+09 2.2097613e+01
5.8000000e+09 2.1067878e+01
5.9000000e+09 2.0097069e+01
6.0000000e+09 1.9150107e+01
6.1000000e+09 1.8257875e+01
6.2000000e+09 1.7387361e+01
6.3000000e+09 1.6577705e+01
6.4000000e+09 1.5780223e+01
6.5000000e+09 1.5044482e+01
6.6000000e+09 1.4309297e+01
6.7000000e+09 1.3642269e+01
6.8000000e+09 1.2975242e+01
6.9000000e+09 1.2364079e+01
7.0000000e+09 1.1767534e+01
7.1000000e+09 1.1201804e+01
7.2000000e+09 1.0664746e+01
7.3000000e+09 1.0140294e+01
7.4000000e+09 9.6718170e+00
7.5000000e+09 9.2033401e+00
7.6000000e+09 8.7741336e+00
7.7000000e+09 8.3553660e+00
7.8000000e+09 7.9537173e+00
7.9000000e+09 7.5858530e+00
8.0000000e+09 7.2179888e+00
8.1000000e+09 6.8911506e+00
8.2000000e+09 6.5731419e+00
8.3000000e+09 6.2664193e+00
8.4000000e+09 5.9936092e+00
8.5000000e+09 5.7207990e+00
8.6000000e+09 5.4694667e+00
8.7000000e+09 5.2314609e+00
8.8000000e+09 4.9934552e+00
8.9000000e+09 4.7859262e+00
9.0000000e+09 4.5808540e+00
9.1000000e+09 4.3809457e+00
9.2000000e+09 4.2053644e+00
9.3000000e+09 4.0297832e+00
9.4000000e+09 3.8646129e+00
9.5000000e+09 3.7174306e+00
9.6000000e+09 3.5702482e+00
9.7000000e+09 3.4324790e+00
9.8000000e+09 3.3040967e+00
9.9000000e+09 3.1757145e+00
1.0000000e+10 3.0584018e+00
1.0100000e+10 2.9491677e+00
1.0200000e+10 2.8399336e+00
1.0300000e+10 2.7396533e+00
1.0400000e+10 2.6453422e+00
1.0500000e+10 2.5510310e+00
1.0600000e+10 2.4640829e+00
1.0700000e+10 2.3827807e+00
1.0800000e+10 2.3014785e+00
1.0900000e+10 2.2233087e+00
1.1000000e+10 2.1485460e+00
1.1100000e+10 2.0737834e+00
1.1200000e+10 2.0021487e+00
1.1300000e+10 1.9365862e+00
1.1400000e+10 1.8710237e+00
1.1500000e+10 1.8063746e+00
