# t(yr) SFR(Msol/yr)
5.0000000e+08 1.7106482e-03
6.0000000e+08 7.2959497e-03
7.0000000e+08 2.0349503e-02
8.0000000e+08 4.3344139e-02
9.0000000e+08 7.7857938e-02
1.0000000e+09 1.2379691e-01
1.1000000e+09 1.8084840e-01
1.2000000e+09 2.4755397e-01
1.3000000e+09 3.2323522e-01
1.4000000e+09 4.0638709e-01
1.5000000e+09 4.9599193e-01
1.6000000e+09 5.9113318e-01
1.7000000e+09 6.9140616e-01
1.8000000e+09 7.9527038e-01
1.9000000e+09 9.0275284e-01
2.0000000e+09 1.0128959e+00
2.1000000e+09 1.1254332e+00
2.2000000e+09 1.2395971e+00
2.3000000e+09 1.3551436e+00
2.4000000e+09 1.4715936e+00
2.5000000e+09 1.5899295e+00
2.6000000e+09 1.7112544e+00
2.7000000e+09 1.8383075e+00
2.8000000e+09 1.9749204e+00
2.9000000e+09 2.1257131e+00
3.0000000e+09 2.2958959e+00
3.1000000e+09 2.4906508e+00
3.2000000e+09 2.7139500e+00
3.3000000e+09 2.9698789e+00
3.4000000e+09 3.2684097e+00
3.5000000e+09 3.6041189e+00
3.6000000e+09 3.9753613e+00
3.7000000e+09 4.3798413e+00
3.8000000e+09 4.8173413e+00
3.9000000e+09 5.2927001e+00
4.0000000e+09 5.7883440e+00
4.1000000e+09 6.3007162e+00
4.2000000e+09 6.8308449e+00
4.3000000e+09 7.3656187e+00
4.4000000e+09 7.9005354e+00
4.5000000e+09 8.4280259e+00
4.6000000e+09 8.9396997e+00
4.7000000e+09 9.4410574e+00
4.8000000e+09 9.9007908e+00
4.9000000e+09 1.0338462e+01
5.0000000e+09 1.0739269e+01
5.1000000e+09 1.1093625e+01
5.2000000e+09 1.1424537e+01
5.3000000e+09 1.1682599e+01
5.4000000e+09 1.1925598e+01
5.5000000e+09 1.2092051e+01
5.6000000e+09 1.2240084e+01
5.7000000e+09 1.2320420e+01
5.8000000e+09 1.2377758e+01
5.9000000e+09 1.2377960e+01
6.0000000e+09 1.2355685e+01
6.1000000e+09 1.2281831e+01
6.2000000e+09 1.2191628e+01
6.3000000e+09 1.2055613e+01
6.4000000e+09 1.1911024e+01
6.5000000e+09 1.1722950e+01
6.6000000e+09 1.1534558e+01
6.7000000e+09 1.1307206e+01
6.8000000e+09 1.1079853e+01
6.9000000e+09 1.0832999e+01
7.0000000e+09 1.0581043e+01
7.1000000e+09 1.0320293e+01
7.2000000e+09 1.0051362e+01
7.3000000e+09 9.7813806e+00
7.4000000e+09 9.5067378e+00
7.5000000e+09 9.2320950e+00
7.6000000e+09 8.9587693e+00
7.7000000e+09 8.6857938e+00
7.8000000e+09 8.4152758e+00
7.9000000e+09 8.1496078e+00
8.0000000e+09 7.8839398e+00
8.1000000e+09 7.6281493e+00
8.2000000e+09 7.3744846e+00
8.3000000e+09 7.1248555e+00
8.4000000e+09 6.8873527e+00
8.5000000e+09 6.6498498e+00
8.6000000e+09 6.4230503e+00
8.7000000e+09 6.2028921e+00
8.8000000e+09 5.9827338e+00
8.9000000e+09 5.7785450e+00
9.0000000e+09 5.5756434e+00
9.1000000e+09 5.3758000e+00
9.2000000e+09 5.1903629e+00
9.3000000e+09 5.0049258e+00
9.4000000e+09 4.8262869e+00
9.5000000e+09 4.6593934e+00
9.6000000e+09 4.4924999e+00
9.7000000e+09 4.3331005e+00
9.8000000e+09 4.1811741e+00
9.9000000e+09 4.0292477e+00
1.0000000e+10 3.8871188e+00
1.0100000e+10 3.7521401e+00
1.0200000e+10 3.6171615e+00
1.0300000e+10 3.4901456e+00
1.0400000e+10 3.3684383e+00
1.0500000e+10 3.2467310e+00
1.0600000e+10 3.1324091e+00
1.0700000e+10 3.0237502e+00
1.0800000e+10 2.9150913e+00
1.0900000e+10 2.8114529e+00
1.1000000e+10 2.7132751e+00
1.1100000e+10 2.6150973e+00
1.1200000e+10 2.5204309e+00
1.1300000e+10 2.4325807e+00
1.1400000e+10 2.3447305e+00
1.1500000e+10 2.2581750e+00
